placetitle,types,rate,address,image,menu1,price1,menu2,price2,menu3,price3
소바키 전대점,일식당, ,북구 서방로 1-8 1층 소바키,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221204_113%2F16701411542425Efeu_JPEG%2F1670141117067.jpg,표고하사미아게, 6000
소코아 전대점,카레, ,광주 북구 서방로 3 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220916_284%2F1663293976965QgkMd_JPEG%2F3%2528new%2529.jpg
쉐프공방,스파게티,4.58,북구 우치로 96,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211207_262%2F1638851013320Clnoe_JPEG%2FKakaoTalk_20211204_133552013.jpg,해산물 토마토 파스타, 8000, 콰트로 치즈 파스타, 8000, 투움바 파스타, 9000
스페샬나잇트 전대후문점,일식당, ,북구 호동로15번길 26-1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221111_296%2F1668141401590EMA52_JPEG%2Fphoto_2022-11-11_10-05-45.jpg
스피드 반점전남대점,중식당,4.44,광주 북구 우치로 126,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAyMTlfNzYg%2FMDAxNjc2ODA2MjM5NDIz.LdGRM94ICDofcgiwMvUJfZ_Hf6Y23X9NCY5AhU94j1Eg.bg4VdvGfzi_vKm7aMjVcpsii4kanVHxoJZnjc04d0Qsg.JPEG.min15133%2FKakaoTalk_20230219_201705036_05.jpg,짜장, 4000, 짬뽕, 5000, 간짜장, 5000
신사천마라탕전남대점,중식당,4.55,북구 호동로15번길 8,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190627_274%2F1561596429101CPPrr_JPEG%2F9ArtVWFrsclemsdH0Th57W1v.jpg,마라탕 (300g),
신전떡볶이 광주전남대점,분식,4.38,광주 북구 호동로15번길 5 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAzMDNfNiAg%2FMDAxNjc3ODM2ODQ2OTIz.Fv5qWks-uoPoXbax2YTzeBMDkHceEN3UeWWJmaOEbx8g.LiJh26urM3WeKFmP0IQ0sFOcbX3fB3u3qq3pnNt3P68g.JPEG%2F8DA613E8-2279-45AD-948D-85659C59FFA1.jpeg,떡볶이, , 치즈떡볶이, , 튀김오뎅,  
신쭈꾸미 전대점,주꾸미요리,4.49,광주 북구 우치로110번길 23,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAxMDFfODIg%2FMDAxNjcyNTgwNDYwMDQy._SWY7tM7RkCFNUGz-Ztv3bj1XMZuwMJWdhWquAhAkW4g.DA5vaXN1qwX9wt7OgTJxtgZ0P865qFbSPKxZiFR8ryog.JPEG.les5250%2FIMG_1409.jpg,신쭈꾸미(1인), 13000, 삼겹쭈꾸미(1인), 13000, 대하쭈꾸미(1인), 13000
써브웨이 광주전남대후문점,샌드위치,4.55,북구 우치로 124 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200103_82%2F1578043664049aVIC6_JPEG%2FoSo1QnUl87teoesK_lCcVLN0.jpg,이탈리안비엠티, , 풀드포크, , 로스트 치킨, 
애상마라탕&우육면 전대점,중식당,4.29,광주 북구 면앙로6번길 81 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191114_113%2F1573718181578krBQ9_JPEG%2Fs828TuZU1JgM_bS_8_x0dUWf.jpg
에그드랍 전남대점,샌드위치,4.45,북구 우치로90번길 6 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190215_295%2F15501927604841SWyy_PNG%2FNfQ5EQYVZEyba13NUpsUtR7J.png,미스터 에그, , 아메리칸 햄 치즈, , 베이컨 더블 치즈,
이태리반점,양식, ,북구 우치로90번길 26 이태리반점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220709_169%2F1657357074737twnEd_JPEG%2F1642489736437.jpg,로제짬뽕, 8500, 짜장면, 5900, 중화 팬 라이스, 7900
전대 쭈군,주꾸미요리,4.65,북구 호동로43번길 43,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190516_92%2F1558004870536QuvSm_JPEG%2FlVesOc5M2iTuZctsT6d3miUl.JPG.jpg,쭈꾸미 (2인이상), 13000, 쭈삼 (2인이상), 13000, 쭈곱새 (2인이상), 13000
조선짬뽕 전대본점,중식당,4.38,북구 우치로110번길 16,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200311_295%2F1583916161645JF4St_JPEG%2F6cjQIxcg1ACTD1ZGE-W3OoZi.jpg,조선짬뽕, 7900, 짜장면, 5900, 볶음밥, 7900
줄벼락 전남대점,한식,4.5,북구 호동로 15-2 벼락,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200313_144%2F15840979116332jJ73_JPEG%2Fd6nHFmyA28mZmIx65c3csiEC.jpeg.jpg,물냉면+숯불고기, 8000, 비빔냉면+숯불고기, 8000, 쌈밥+숯불고기, 7500
쫄면주는 삼겹본능 광주북구점,돼지고기구이,4.5,북구 우치로100번길 15,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190524_96%2F1558659061948nluTh_PNG%2FiMI63Io8-heUlDjXgLWWzzcD.png
차이나궁 전남대점,중식당,4.12,북구 호동로43번길 45,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190121_92%2F1548079916092QeDRS_JPEG%2FsioOOF5C659G8PjnaH9cPloW.jpg,불타는 쟁반자장(1인), 6000, 자장면, 4000, 짬뽕, 5000 
참돈 전남대점,돼지고기구이,4.11,북구 호동로63번길 73 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220601_287%2F1654079192247eundf_JPEG%2F20220601_191049.jpg
창평국밥 전남대점,국밥,4.4,광주 북구 천지인로 103,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMjlfMjQ5%2FMDAxNjY5NzI0MjU1NDU5.I-r6USqTliw4Z-uQv0Bdstw5ouOgoX8UvK3un-8X_ZIg.zjaSnsEQH3zcwvGJ2SB89QRCxGr8beBCLLUwps94nB4g.JPEG.hhhjjjkkk25%2FC9A4E162-9B2F-4152-BB28-6817E3783CF3.jpeg,순대국밥, 6000, 콩나물해장국, 5000, 선지해장국, 5000
청년다방 전대점,분식,4.38,광주 북구 호동로 19-2,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221007_263%2F1665113263778RNeQY_JPEG%2F%25C4%25DC%25C5%25D9%25C3%25F7_%252849%2529.jpg,통큰오짱 떡볶이, , 차돌 떡볶이, , 불향가득차돌덮밥,
콩불 전남대점,육류,4.58,광주 북구 우치로90번길 18 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221017_215%2F1665994463629UXWRR_JPEG%2F03.jpg,콩불, , 치즈콩불, , 부대찌개, 
풍남옥 전대후문점,국밥,4.47,북구 우치로 72,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190125_249%2F1548348006893fkbT2_JPEG%2FEg_5SwfETAX8BdI7xtpqTJhg.jpg,개운한맛, 7000, 구수한맛, 7000, 돼지콩나물국밥, 8000
한솥도시락 전남대후문점,도시락,4.53,북구 우치로110번길 6,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_296%2F1441004682193LFukx_JPEG%2F156251616755442_0.jpeg,매화, 10500, 진달래, 7800, 개나리, 8500
호랑이짬뽕 전대본점,중식당, ,북구 호동로 19-14 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230321_73%2F1679395572237OudJi_JPEG%2F1.jpg
호미도 전남대점,중식당, ,광주 북구 면앙로6번길 68 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjExMjdfMTk0%2FMDAxNjY5NTYwMTczMTA4.8RnCf7AKVSRR4pWwDznDdhrSw3pmzqMxcLnPBRyEwmwg.O9C42JBwZNjKell0eisWB9cwkSH6kdfN_Q9LZf1eSmAg.JPEG%2F1669560041065.jpg
화궁방마라탕 전대점,중식당, ,북구 호동로 10-7 1층(중흥동),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220808_136%2F1659957819640W0fDR_JPEG%2F3EA5911B-E773-422B-9239-DCF464194059.jpeg
화석시대 전남대점,돼지고기구이,4.65,광주 북구 우치로110번길 23-1,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTAyMDRfMTc2%2FMDAxNjEyNDI4ODkyMzI4.F9wLO3LTxaVYhlxK7_6iRZs7aahF7SjjNFeN_1djHp8g.YUcEtxnwyS0o0SJ08v-nuCt7eHr1Q_FCsirfSmieCSIg.JPEG.gumdang1234%2FKakaoTalk_20210203_130932355_11.jpg,생삼겹살(1인분), 12000, 3초삼겹살(180g), 11000, 가브리살(180g), 13000
후토루 전대점,김밥, ,북구 호동로 6-3 1층 후토루,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220713_53%2F1657679219706oUGkQ_JPEG%2F823A9C0F-52E0-4DF0-B6ED-734CFBBB63A5.jpeg
